shift_id,shift,units_per_hour,defect_rate,meets_sla
1,C,194.05,0.264,0
2,A,94.95,0.41,0
3,D,18.33,0.344,0
4,C,492.68,0.231,1
5,C,236.46,0.346,0
6,C,65.42,0.406,0
7,D,413.13,0.132,1
8,C,220.53,0.043,0
9,B,480.62,0.099,1
10,C,110.55,0.112,0
11,C,450.45,0.024,1
12,A,283.28,0.054,1
13,C,362.38,0.229,1
14,A,472.02,0.212,1
15,C,261.92,0.352,0
16,B,259.26,0.425,0
17,B,230.49,0.237,0
18,A,430.41,0.299,1
19,D,263.24,0.416,0
20,A,379.7,0.048,1
21,C,14.57,0.146,0
22,B,443.3,0.459,1
23,B,267.23,0.346,0
24,C,432.14,0.163,1
25,B,361.18,0.457,1
26,C,439.95,0.185,1
27,A,166.58,0.26,0
28,A,267.48,0.497,0
29,C,498.28,0.442,1
30,D,111.66,0.178,0
31,C,13.75,0.187,0
32,B,171.61,0.094,0
33,A,420.2,0.103,1
34,D,419.21,0.296,1
35,A,434.0,0.387,1
36,C,497.76,0.455,1
37,B,126.8,0.177,0
38,D,99.02,0.496,0
39,B,344.22,0.017,1
40,B,211.26,0.025,0
41,A,407.09,0.314,1
42,B,249.08,0.405,0
43,A,81.72,0.088,0
44,D,140.16,0.356,0
45,D,258.12,0.409,0
46,A,486.55,0.242,1
47,B,150.42,0.195,0
48,D,190.32,0.083,0
49,D,57.33,0.188,0
50,A,93.6,0.494,0
51,A,340.74,0.113,1
52,D,337.84,0.236,1
53,B,232.78,0.382,0
54,B,433.95,0.061,1
55,C,195.38,0.206,0
56,A,274.31,0.412,0
57,B,267.63,0.125,0
58,C,35.15,0.414,0
59,A,138.65,0.408,0
60,A,350.35,0.281,1
61,C,72.18,0.349,0
62,B,25.62,0.209,0
63,A,183.07,0.02,0
64,D,57.71,0.176,0
65,A,228.45,0.179,0
66,B,246.15,0.017,0
67,D,498.04,0.164,1
68,C,271.0,0.235,0
69,A,270.34,0.075,0
70,B,263.44,0.435,0
71,B,280.3,0.18,1
72,B,364.16,0.425,1
73,C,61.92,0.262,0
74,A,90.66,0.277,0
75,A,24.47,0.147,0
76,B,207.61,0.289,0
77,C,242.57,0.216,0
78,D,389.51,0.172,1
79,D,279.03,0.083,1
80,C,77.27,0.432,0
81,A,398.48,0.179,1
82,A,161.87,0.471,0
83,B,275.42,0.095,0
84,C,128.36,0.054,0
85,B,454.21,0.238,1
86,B,231.69,0.089,0
87,B,28.54,0.056,0
88,C,78.2,0.128,0
89,D,282.12,0.436,1
90,A,318.4,0.098,1
91,C,302.39,0.179,1
92,C,481.18,0.485,1
93,D,216.56,0.042,0
94,D,418.31,0.358,1
95,D,291.37,0.36,1
96,A,329.0,0.138,1
97,D,219.09,0.251,0
98,C,301.77,0.285,1
99,C,400.64,0.168,1
100,A,499.49,0.405,1
101,A,213.19,0.316,0
