Date,Product_ID,Product_Category,Customer_Age,Customer_Gender,Region,Season,Sales_Quantity,Unit_Price,Discount,Total_Sales,Advertising_Spend,Cost_per_unit,Profit,Profit_Margin
2022-01-01,100,Sports,37,Male,East,Summer,23,182.78,0.15,3573.35,4014.34,114.35,943.38,0.26
2022-01-03,101,Beauty,42,Male,Central,Summer,16,414.15,0.22,5168.59,2292.03,234.08,1423.38,0.28
2022-01-05,102,Home & Kitchen,39,Male,West,Summer,13,262.67,0.13,2970.8,2497.57,182.45,598.92,0.2
2022-01-07,103,Beauty,30,Male,East,Summer,21,237.01,0.2,3981.77,4521.18,148.64,860.36,0.22
2022-01-09,104,Beauty,36,Male,East,Spring,15,32.25,0.03,469.24,3461.25,20.18,166.52,0.35
2022-01-11,105,Clothing,53,Female,North,Summer,14,152.11,0.22,1661.04,536.27,132.1,-188.39,-0.11
2022-01-14,106,Home & Kitchen,29,Female,Central,Spring,18,466.19,0.24,6377.48,4744.29,415.85,-1107.8,-0.17
2022-01-16,107,Home & Kitchen,58,Male,North,Spring,18,201.99,0.21,2872.3,1567.15,161.24,-29.97,-0.01
2022-01-18,108,Home & Kitchen,36,Female,South,Autumn,20,277.88,0.29,3945.9,984.26,216.3,-380.02,-0.1
2022-01-20,109,Beauty,29,Female,North,Spring,26,270.69,0.25,5278.46,3956.58,200.39,68.42,0.01
2022-01-22,110,Sports,26,Male,North,Winter,24,299.31,0.27,5243.91,2752.15,144.58,1774.04,0.34
2022-01-25,111,Home & Kitchen,24,Male,West,Spring,21,40.05,0.28,605.56,2451.97,17.2,244.28,0.4
2022-01-27,112,Beauty,45,Male,East,Autumn,20,187.47,0.24,2849.54,1622.76,139.73,54.88,0.02
2022-01-29,113,Clothing,31,Female,Central,Spring,20,364.33,0.2,5829.28,2963.62,278.49,259.45,0.04
2022-01-31,114,Sports,48,Female,North,Winter,22,108.27,0.0,2381.94,1734.73,45.85,1373.22,0.58
2022-02-02,115,Clothing,36,Male,Central,Winter,23,109.75,0.14,2170.86,4557.12,94.83,-10.16,-0.0
2022-02-05,116,Sports,64,Male,North,Winter,16,14.94,0.17,198.4,1468.42,6.66,91.89,0.46
2022-02-07,117,Beauty,33,Male,South,Autumn,17,224.37,0.09,3471.0,4479.6,121.82,1400.03,0.4
2022-02-09,118,Electronics,22,Female,North,Autumn,15,442.54,0.1,5974.29,3017.32,325.8,1087.35,0.18
2022-02-11,119,Sports,52,Female,West,Summer,31,35.43,0.29,779.81,4228.2,17.18,247.19,0.32
2022-02-13,120,Clothing,29,Female,East,Autumn,28,103.65,0.27,2118.61,3707.81,44.33,877.31,0.41
2022-02-16,121,Beauty,42,Female,South,Winter,20,161.94,0.25,2429.1,3635.13,91.59,597.32,0.25
2022-02-18,122,Sports,38,Male,North,Winter,21,368.55,0.12,6810.8,1959.56,288.57,750.85,0.11
2022-02-20,123,Electronics,53,Male,Central,Autumn,25,323.91,0.0,8097.75,1552.54,196.56,3183.72,0.39
2022-02-22,124,Electronics,40,Male,South,Spring,14,213.81,0.02,2933.47,1448.99,155.33,758.85,0.26
2022-02-24,125,Home & Kitchen,33,Male,South,Autumn,20,381.94,0.09,6951.31,4357.36,263.47,1681.99,0.24
2022-02-27,126,Home & Kitchen,56,Female,North,Autumn,14,308.72,0.0,4322.08,4191.92,126.92,2545.23,0.59
2022-03-01,127,Clothing,62,Female,South,Winter,17,449.06,0.01,7557.68,2482.58,401.58,730.8,0.1
2022-03-03,128,Sports,59,Male,Central,Summer,21,410.83,0.27,6298.02,1095.82,172.84,2668.34,0.42
2022-03-05,129,Sports,56,Male,South,Winter,18,133.88,0.21,1903.77,2220.14,118.34,-226.29,-0.12
2022-03-07,130,Home & Kitchen,31,Female,Central,Summer,15,143.0,0.09,1951.95,3287.05,96.52,504.22,0.26
2022-03-10,131,Sports,48,Male,North,Winter,20,71.42,0.04,1371.26,2544.81,62.96,112.02,0.08
2022-03-12,132,Sports,22,Female,East,Autumn,22,175.11,0.15,3274.56,4010.85,80.09,1512.55,0.46
2022-03-14,133,Electronics,52,Male,South,Winter,19,499.78,0.0,9495.82,4989.3,322.46,3369.08,0.35
2022-03-16,134,Home & Kitchen,40,Male,East,Winter,12,208.82,0.28,1804.2,1360.09,101.23,589.49,0.33
2022-03-18,135,Beauty,46,Male,Central,Winter,17,118.04,0.12,1765.88,2568.43,50.22,912.06,0.52
2022-03-20,136,Home & Kitchen,60,Male,South,Autumn,23,383.62,0.12,7764.47,2439.43,271.9,1510.85,0.19
2022-03-23,137,Beauty,28,Male,West,Autumn,22,275.81,0.12,5339.68,1870.22,138.98,2282.16,0.43
2022-03-25,138,Electronics,35,Male,East,Autumn,16,83.3,0.02,1306.14,1391.43,57.8,381.38,0.29
